_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.tangramURLs,data.roleList,data.name,data.avatar,data.nameColor,data.bonus,data.role,data.clicked,data.timeClick,data.exitTimeoutId,data.exited
96vXoCfiNZYxzK2iE,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:31Z,,,,,,,,,,,
iib48m22ktGFGDqeQ,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:31Z,,,,,,,,,,,
H9LeHe5fG85TXfr99,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:32Z,,,,,,,,,,,
SM79SgfHa26rnXrvK,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:32Z,,,,,,,,,,,
qf2zHZnNk9SNn4yJx,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:32Z,,,,,,,,,,,
XABbzCj7RAMQtNWFw,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:33Z,,,,,,,,,,,
oLETDKarTGMLFmD7C,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:35Z,,,,,,,,,,,
wcvvodgzCBYLHzpxb,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:36Z,,,,,,,,,,,
j2QkYqMQQMsyQLTzn,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:36Z,,,,,,,,,,,
q9Litnc38ppsYmnFY,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:37Z,,,,,,,,,,,
